cycle,IR,QC,QD,Tavg,Tmin,Tmax,chargetime
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.016369704,1.0793147,1.0797229,30.24559243709836,29.596653,30.935932,12.008575000000018
3.0,0.016315572,1.0806946,1.0812283,30.313372000000022,29.836266,31.18433,12.008094999999988
4.0,0.016325498,1.0815663,1.0819938,30.27831325118029,29.724728,30.779972,12.008374999999978
5.0,0.016325014,1.0822483,1.0827308,30.39341168333336,29.996559,31.101156,12.008216666666703
6.0,0.016291786,1.0826956,1.083112,30.33170060255235,29.657597,30.721308,12.092436666666678
7.0,0.016265681,1.0830204,1.08355,30.364498095802983,29.702785,31.045734,12.092499999999989
8.0,0.01626664,1.0833867,1.0837905,30.358758771162872,29.685999,30.979694,12.092648333333331
9.0,0.016235113,1.0836259,1.0840378,30.334044438356127,29.772276,31.086926,12.092768333333334
10.0,0.016207602,1.0838398,1.0843078,30.294629664220132,29.662891,31.224295,12.092449999999978
11.0,0.016218726,1.0839198,1.0843241,30.19462110265803,29.662922,30.83703,12.092376666666556
12.0,0.016240121500000003,1.084152,1.084146,30.028080301259063,29.640888,30.664867,12.008086666666712
13.0,0.016286887,1.079504,1.0801494,30.17117478853378,29.690474,30.913134,12.092543333333255
14.0,0.016247271,1.0823337,1.0828358,30.0922575362718,29.565948,30.89027,12.008118333333307
15.0,0.016230898,1.0829734,1.0833995,30.004971123300106,29.297924,30.655083,12.092446666666609
16.0,0.016365485,1.0834512,1.0839369,29.853255485267034,29.316433,30.671743,12.092854999999933
17.0,0.016360775,1.0838183,1.0842366,29.84388972559851,29.332771,30.525606,12.09261666666668
18.0,0.016359352,1.0840797,1.0844988,29.84457024632351,29.359411,30.538759,12.092713333333329
19.0,0.016349224,1.0842619,1.0845997,29.79683736261681,29.424572,30.411865,12.09236833333319
20.0,0.01633808,1.0845194,1.0849102,29.76409284756664,29.396191,30.336483,12.092336666666476
21.0,0.016328907,1.0845698,1.0849816,29.82337024791858,29.386528,30.38109,12.092588333333213
22.0,0.016282074,1.0846334,1.0850784,29.866125629427746,29.444065,30.406626,12.092614999999933
23.0,0.016288836,1.084831,1.0852121,29.833181360909087,29.473217,30.382923,12.008125000000048
24.0,0.016271129,1.0849,1.0853114,29.84571323112337,29.504063,30.39113,12.008350000000064
25.0,0.016273182,1.0850928,1.0854828,29.901195155141878,29.38117,30.421011,12.092685000000104
26.0,0.016250733,1.0852003,1.0855538,29.90931575114785,29.409222,30.383427,12.092243333333318
27.0,0.016263327,1.0851779,1.0855597,29.93785680588784,29.34437,30.455006,12.0923500000002
28.0,0.016271114,1.0850989,1.0854679,29.938789219178013,29.297314,30.552313,12.092286666666526
29.0,0.016273748,1.0850434,1.0854152,29.869821218945457,29.233625,30.578209,12.092508333333292
30.0,0.016299676,1.0850613,1.0854537,29.78002756727271,29.17243,30.389032,12.092485000000064
31.0,0.016291054,1.0850451,1.0854599,29.83921277695169,29.212397,30.651123,12.007925000000007
32.0,0.016262814,1.0850329,1.0854311,29.841460960966533,29.281399,30.716326,12.007926666666512
33.0,0.016286319,1.0850081,1.0853695,29.77098785541048,29.099152,30.590649,12.00847499999994
34.0,0.016273437,1.0850438,1.085397,29.79850834864113,29.21258,30.676329,12.092478333333563
35.0,0.016303716,1.0851139,1.0854614,29.81206473644861,29.235453,30.568756,12.00797999999971
