cycle,IR,QC,QD,Tavg,Tmin,Tmax,chargetime,Q,SOH
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.016787428,1.078509,1.0784167,31.659106455331383,29.640825,34.610603,12.008310000000014,2.1569257,100.0
3.0,0.016740341,1.0789363,1.0790124,31.682169403151168,29.737724,34.632095,12.092648333333331,2.1579487000000004,100.04742861564498
4.0,0.016738746,1.0796522,1.0797466,31.665242387477296,29.74818,34.424313,12.092380000000018,2.1593988,100.11465856241595
5.0,0.016720008,1.0802691,1.0804269,31.72598556553616,29.840086,34.543621,12.007856666666642,2.1606959999999997,100.1747997160959
6.0,0.016683817,1.0806787,1.0807526,31.65874018156685,29.685734,34.465569,12.008058333333368,2.1614313000000003,100.20888990288354
7.0,0.016659617,1.081084,1.0811697,31.67556792206573,29.785479,34.4851,12.00806833333336,2.1622537,100.24701824453201
8.0,0.016653595,1.0813879,1.0815623,31.70697666233762,29.734694,34.543011,12.092554999999994,2.1629502,100.27930957473407
9.0,0.016637947,1.0816168,1.0817327,31.7011438156934,29.831789,34.558636,12.092461666666653,2.1633495,100.29782203438904
10.0,0.016616168,1.0817835,1.0819536,31.66909302575897,29.719275,34.642597,12.092295000000012,2.1637371,100.31579205533134
11.0,0.016638547,1.0819266,1.0819838,31.6566337949908,29.754782,34.519489,12.007888333333296,2.1639104,100.32382663899826
12.0,0.016650592,1.0820839,1.0816935,31.09803893321298,29.597702,32.985813,12.007793333333272,2.1637774,100.31766045534161
13.0,0.016690802,1.0775421,1.0780181,31.482436138706618,29.755266,34.392864,12.092473333333327,2.1555602,99.93669230238204
14.0,0.016656851,1.0804358,1.0806552,31.506526520754715,29.595516,34.458183,12.008140000000031,2.161091,100.19311281793341
15.0,0.016627353,1.0812811,1.0814338,31.483529791168326,29.382664,34.343189,12.008056666666622,2.1627149,100.26840052951292
16.0,0.016710907,1.0816888,1.0818815,31.33903300272236,29.493584,34.362049,12.008286666666876,2.1635703,100.30805882650478
17.0,0.016699778,1.0820018,1.0821286,31.38541926648601,29.548168,34.305405,12.008098333333328,2.1641304000000003,100.33402634128751
18.0,0.016707348,1.0822161,1.0823987,31.35564579123949,29.391556,34.361599,12.09246000000009,2.1646148,100.35648423123706
19.0,0.016691811,1.0824314,1.0825365,31.32132472222224,29.456888,34.249355,12.092455000000092,2.1649678999999997,100.37285475341129
20.0,0.016681554,1.0825535,1.082725,31.28513567617296,29.512949,34.157902,12.092458333333344,2.1652785,100.38725487855238
21.0,0.016691096,1.0827117,1.0828415,31.343432174152124,29.47686,34.208958,12.008283333333384,2.1655531999999997,100.39999059772897
22.0,0.016671179,1.0828112,1.0828853,31.33203400649965,29.602896,34.209164,12.008189999999985,2.1656965,100.40663431290193
23.0,0.016660178,1.0829024,1.0830723,31.33224404178025,29.544054,34.116722,12.092661666666633,2.1659747,100.4195323000695
